[13:38:33] ConvaiChatbotComponentLog : Log : Cleanup | Character ID : ac032e3a-931c-11f0-8bf1-42010a7be01f | Session ID : -1
[13:38:33] ConvaiChatbotComponentLog : Log : Cleanup | Character ID : ac032e3a-931c-11f0-8bf1-42010a7be01f | Session ID : -1
[13:38:34] ConvaiGRPCLog : Log : Destroying UConvaiGRPCGetResponseProxy... | Character ID :  | Session ID : 
[13:38:34] ConvaiGRPCFeedBackLog : Log : On Stream Finish | Interaction ID :  | Feedback Text :  | ThumbsUp: False
[13:38:34] ConvaiChatbotComponentLog : Log : Cleanup | Character ID :  | Session ID : -1
[13:38:34] ConvaiChatbotComponentLog : Log : Cleanup | Character ID :  | Session ID : -1
[13:38:34] ConvaiChatbotComponentLog : Log : Cleanup | Character ID : ac032e3a-931c-11f0-8bf1-42010a7be01f | Session ID : -1
[13:38:34] ConvaiChatbotComponentLog : Log : Cleanup | Character ID : ac032e3a-931c-11f0-8bf1-42010a7be01f | Session ID : -1
[13:38:34] ConvaiChatbotComponentLog : Log : Cleanup | Character ID :  | Session ID : -1
[13:38:34] ConvaiChatbotComponentLog : Log : Cleanup | Character ID :  | Session ID : -1
