[15:19:15] ConvaiChatbotComponentLog : Log : Cleanup | Character ID : ac032e3a-931c-11f0-8bf1-42010a7be01f | Session ID : -1
[15:19:15] ConvaiChatbotComponentLog : Log : Cleanup | Character ID : ac032e3a-931c-11f0-8bf1-42010a7be01f | Session ID : -1
[15:19:16] ConvaiGRPCLog : Log : Destroying UConvaiGRPCGetResponseProxy... | Character ID :  | Session ID : 
[15:19:16] ConvaiGRPCFeedBackLog : Log : On Stream Finish | Interaction ID :  | Feedback Text :  | ThumbsUp: False
[15:19:16] ConvaiChatbotComponentLog : Log : Cleanup | Character ID :  | Session ID : -1
[15:19:16] ConvaiChatbotComponentLog : Log : Cleanup | Character ID :  | Session ID : -1
[15:19:16] ConvaiChatbotComponentLog : Log : Cleanup | Character ID :  | Session ID : -1
[15:19:16] ConvaiChatbotComponentLog : Log : Cleanup | Character ID :  | Session ID : -1
[15:19:16] ConvaiChatbotComponentLog : Log : Cleanup | Character ID : ac032e3a-931c-11f0-8bf1-42010a7be01f | Session ID : -1
[15:19:16] ConvaiChatbotComponentLog : Log : Cleanup | Character ID : ac032e3a-931c-11f0-8bf1-42010a7be01f | Session ID : -1
